Y11 imS X,Y11 imS Y,Y11 reS X,Y11 reS Y,Y12 imS X,Y12 imS Y,Y12 reS X,Y12 reS Y,Y21 imS X,Y21 imS Y,Y21 reS X,Y21 reS Y,Y22 imS X,Y22 imS Y,Y22 reS X,Y22 reS Y
57700000000,0.0004272460909905783,57700000000,3.147895027215953e-08,57700000000,-0.0001018488494505361,57700000000,-3.712680096367482e-09,57700000000,-0.0001164351808616741,57700000000,0.0008612044361015739,57700000000,0.0002441406222405786,57700000000,0.0001396201053084131
57800000000,0.0004272460909953523,57800000000,3.147895026911795e-08,57800000000,-0.0001020253639209877,57800000000,-3.712680096367534e-09,57800000000,-0.0001166369749359577,57800000000,0.0008612044361015744,57800000000,0.0002441406222453527,57800000000,0.0001396201053084164
57900000000,0.0004272460910001101,57900000000,3.147895027100676e-08,57900000000,-0.0001022018783914392,57900000000,-3.712680096367243e-09,57900000000,-0.0001168387690102415,57900000000,0.0008612044361015742,57900000000,0.0002441406222501104,57900000000,0.0001396201053084195
58000000000,0.0004272460910048509,58000000000,3.147895026740423e-08,58000000000,-0.0001023783928618908,58000000000,-3.712680096367419e-09,58000000000,-0.0001170405630845251,58000000000,0.0008612044361015744,58000000000,0.0002441406222548516,58000000000,0.0001396201053084252
58100000000,0.0004882812472595758,58100000000,3.147895027659879e-08,58100000000,-0.0001025549073323422,58100000000,-3.71268009636687e-09,58100000000,-0.0001172423571588088,58100000000,0.000861204436101574,58100000000,0.0003051757785095762,58100000000,0.0001396201053084192
58200000000,0.0004272460910142845,58200000000,3.147895026624592e-08,58200000000,-0.0001027314218027938,58200000000,-3.712680096368091e-09,58200000000,-0.0001174441512330924,58200000000,0.0008612044361015739,58200000000,0.000244140622264285,58200000000,0.0001396201053084198
58300000000,0.0004272460910189772,58300000000,3.147895027003458e-08,58300000000,-0.0001029079362732454,58300000000,-3.712680096365876e-09,58300000000,-0.0001176459453073761,58300000000,0.0008612044361015738,58300000000,0.0002441406222689775,58300000000,0.0001396201053084189
58400000000,0.0004272460910236536,58400000000,3.147895027319147e-08,58400000000,-0.0001030844507436969,58400000000,-3.712680096367922e-09,58400000000,-0.0001178477393816598,58400000000,0.0008612044361015742,58400000000,0.0002441406222736539,58400000000,0.0001396201053084206
58500000000,0.000427246091028314,58500000000,3.147895026970987e-08,58500000000,-0.0001032609652141484,58500000000,-3.712680096366366e-09,58500000000,-0.0001180495334559434,58500000000,0.000861204436101574,58500000000,0.0002441406222783142,58500000000,0.0001396201053084144
58600000000,0.0004272460910329585,58600000000,3.147895027138741e-08,58600000000,-0.0001034374796845999,58600000000,-3.712680096366904e-09,58600000000,-0.0001182513275302271,58600000000,0.000861204436101574,58600000000,0.0002441406222829588,58600000000,0.0001396201053084165
58700000000,0.0004272460910375871,58700000000,3.147895027000879e-08,58700000000,-0.0001036139941550515,58700000000,-3.712680096367907e-09,58700000000,-0.0001184531216045108,58700000000,0.0008612044361015742,58700000000,0.0002441406222875875,58700000000,0.0001396201053084187
58800000000,0.0004272460910422002,58800000000,3.147895027292299e-08,58800000000,-0.000103790508625503,58800000000,-3.712680096367477e-09,58800000000,-0.0001186549156787944,58800000000,0.0008612044361015743,58800000000,0.0002441406222922004,58800000000,0.0001396201053084169
58900000000,0.0004272460910467971,58900000000,3.147895026750294e-08,58900000000,-0.0001039670230959546,58900000000,-3.712680096366698e-09,58900000000,-0.000118856709753078,58900000000,0.0008612044361015739,58900000000,0.0002441406222967978,58900000000,0.0001396201053084186
59000000000,0.0004272460910513789,59000000000,3.147895027218833e-08,59000000000,-0.0001041435375664061,59000000000,-3.712680096366656e-09,59000000000,-0.0001190585038273618,59000000000,0.0008612044361015742,59000000000,0.0002441406223013796,59000000000,0.0001396201053084266
59100000000,0.0004272460910559451,59100000000,3.147895027214131e-08,59100000000,-0.0001043200520368576,59100000000,-3.712680096368973e-09,59100000000,-0.0001192602979016454,59100000000,0.0008612044361015739,59100000000,0.0002441406223059455,59100000000,0.0001396201053084144
59200000000,0.0004272460910604959,59200000000,3.147895026804819e-08,59200000000,-0.0001044965665073092,59200000000,-3.712680096367959e-09,59200000000,-0.0001194620919759291,59200000000,0.000861204436101574,59200000000,0.0002441406223104964,59200000000,0.0001396201053084188
59300000000,0.0004272460910650315,59300000000,3.147895027395209e-08,59300000000,-0.0001046730809777606,59300000000,-3.712680096367679e-09,59300000000,-0.0001196638860502127,59300000000,0.0008612044361015739,59300000000,0.0002441406223150318,59300000000,0.0001396201053084156
59400000000,0.0004272460910695514,59400000000,3.147895026835138e-08,59400000000,-0.0001048495954482122,59400000000,-3.71268009636786e-09,59400000000,-0.0001198656801244964,59400000000,0.0008612044361015739,59400000000,0.000244140622319552,59400000000,0.0001396201053084235
59500000000,0.0004272460910740563,59500000000,3.147895026970854e-08,59500000000,-0.0001050261099186637,59500000000,-3.712680096368504e-09,59500000000,-0.00012006747419878,59500000000,0.000861204436101574,59500000000,0.0002441406223240568,59500000000,0.0001396201053084159
